// Basic input file for Entity Finder Tester
//
// FORMAT:
// Two line formats are supported:
// 1) Label | Input | Output
//    where:
//    Label  = a number or text string used to identify the test case
//    Input  = the string used as input to the Entity Finder
//    Output = the string expected as output from the Entity Finder
// 2) <FILE> | Path
//    where:
//    <FILE> = a keyword indicating that the next argument is a filename
//    Path   = a fully qualified path to a text file used as input.
//             OR a filename for file located in same folder as TestEntityFinder.dat
//             NOTE: The text file must also satisfy these format requirements
//
//////////////////////////////////////////////////////////////////////////////

// Individual tests to guarantee that particular keywords and phrases used as
// Company Suffixes and Company Designators are found properly

// Company Suffixes
Company: LLC|UCLID Software, LLC Plus More Text|UCLID Software, LLC

Company: L L C|UCLID Software, L L C Plus More Text|UCLID Software, L L C

Company: L.L C|UCLID Software, L.L C Plus More Text|UCLID Software, L.L C

Company: L .L . C|UCLID Software, L .L . C Plus More Text|UCLID Software, L .L . C

Company: LLP|Habush & Habush, LLP Plus More Text|Habush & Habush, LLP

Company: Incorporated|Acme Explosives, Incorporated With extra text|Acme Explosives, Incorporated

Person: Incorporated Herein|John Smith with incorporated herein with extra text|John Smith

Company: Inc.|Acme Explosives, Inc. With extra text|Acme Explosives, Inc.

Company: Inc&|Acme Explosives, Inc& With extra text|Acme Explosives, Inc

Company: Inc|Acme Explosives, Inc With extra text|Acme Explosives, Inc

Company: Co.|Walt Disney Co. With extra text|Walt Disney Co.

Company: Co&|Walt Disney Co& With extra text|Walt Disney Co

Company: FSB|Madison National Bank, FSB With extra text|Madison National Bank, FSB

Company: F S B|Madison National Bank F S B With extra text|Madison National Bank F S B

Company: F.S.B.|Madison National Bank, F.S.B. With extra text|Madison National Bank, F.S.B.

Company: F.S B.|Madison National Bank, F.S B. With extra text|Madison National Bank, F.S B.

Company: Federal Savings Bank|Citibank Federal Savings Bank With extra|Citibank Federal Savings Bank

Company: SSB|Park Bank, SSB With extra text|Park Bank, SSB

Company: S S B.|Park Bank, S S B. With extra text|Park Bank, S S B.

Company: State Savings Bank|Citibank State Savings Bank With extra|Citibank State Savings Bank

Company: Ltd|Acme Explosives, Ltd With extra text|Acme Explosives, Ltd

Company: N D|Park Bank, N D With extra text|Park Bank, N D

Company: NA|Park Bank, NA With extra text|Park Bank, NA

Company: N.A.|Park Bank, N.A. With extra text|Park Bank, N.A.

Company: National Association|Park Bank, National Association With extra text|Park Bank, National Association

Company: FA|Park Bank, FA With extra text|Park Bank, FA

Company: F.A.|Park Bank, F.A. With extra text|Park Bank, F.A.

Company: Federal Association|Park Bank, Federal Association With extra text|Park Bank, Federal Association

