// <ENDSLog> type data file
//	Format of this file is
//		Comment lines are ignored
//		Blank lines separate groups of attributes
// 		Each none comment and blank line has a score value and a text value separated by |
//		if the Text value is TotalGroupScore then the score at the beginning of the line is
// 		the total score for the group of attributes since the last blank line
//		


20|, and\r\n\r\nKenneth J. Monte and Michelle Monte, husband and wife\r\n\r\nWitnesseth, that said GRANTORS for and in consideration of the stun of\r\n\r\n
20|\r\nJeffrey J. Martino and Kimberley C. Martino, husband and wife\r\n\r\n
40|TotalGroupScore

10|,\r\n\r\nAnd\r\n\r\nKathryn A. Van Why of the County of Allegheny, Commonwealth of Pennsylvania, hereinafter\r\nreferred to as the Grantee.\r\n\r\nWitnesseth That the said Grantors for and in consideration of the sum of One Dollar and No\r\nCents******* ($1.00)********* paid by the said 
10| Kris E. Ohrum of the County of Allegheny, C mmonwealth of Pennsylvania,\r\nherein referred to as 
20|TotalGroupScore

20| and\r\n\r\nCATHERINE F. LOCKWICH and WILLIAM J. LOCKWICH, SR., of the City of\r\nPittsburgh, Count of Allegheny and Commonwealth of Pennsylvania, sister and br
10| CATHERINE F. LOCK CH, of the City of Pittsburgh, County of Allegheny and\r\nCommonwealth of Pennsylvania, party of the 
30|TotalGroupScore

10|\r\n\r\nEASTSIDE LIMITED PARTNERSHIP II, a Pennsylvania limited partnership,\r\nhaving its principal place of business located at 336 Fourth Avenue, The Times Building, Sixth\r\nFloor, Pittsburgh, Pennsylvania 15222\r\n\r\n(
10|\r\n\r\nMYRNA BLANK, an individual, having an address of 5940 Penn Circle South,\r\nPittsburgh, Pennsylvania 15206\r\n\r\n(
20|TotalGroupScore

30|\r\n\r\nBOHDAN JACYSZYN, DIANE EDICK, AND HELEN KIRK, as Tenants in Common, all of\r\nthe County of Allegheny, Pennsylvania, 
10|: MARY JACYSZYN, a widow, of the Borough of Baldwin, County of Allegheny,\r\nCommonwealth of Pennsylvania, 
40|TotalGroupScore

10|), of the one part, and\r\n\r\nGREGORY TUCCIARONE\r\n\r\n(
10|\r\n\r\nNATIONAL CITY HOME SERVICES, INC.\r\n\r\n(
20|TotalGroupScore

// Not Split Correctly
//10|)\r\n\r\nAND\r\n\r\nElizabeth A. Title,\r\nUnmarried\r\n\r\n(
//20|\r\n\r\ný8 r\"-\r\n\r\nday of M''' \"t 2004\r\n\r\nJohn G. Kurutz, Jr. and Jo Ann Kurutz,\r\nMarried\r\n\r\n(
//30|TotalGroupScore

20|(s)] party of the first part,\r\n\r\nAND\r\n\r\nCurtis J. Hoffman and Michele Ilofftnan, husband and wife [
10|, Michele Hoffman, a married woman [
30|TotalGroupScore

0| 
0| Lender.\r\n\r\n7. 
0|TotalGroupScore

10| Chase Manhattan Bank USA- N A\r\n\r\na national banking association which is organized under the laws of the United States, and whose address is\r\n200 White Clay Center Drive, Route 273, Newark, DE 19711\r\n\r\n(
0| -.
10|TotalGroupScore

10| Chase Manhattan Bank USA- N A\r\n\r\na national banking association which is organized under the laws of the United States, and whose address is\r\n
0|\r\n\r\n
10|TotalGroupScore

0| 
0| fire, and all other risks and hazards as Lender shall require, including flood insurance if required by law, in such amounts as Lender shall require.\r\n
0|TotalGroupScore

10|\r\nNorthSide Bank, whose address is 5000 McKnight Road, Pittsburgh , PA 15237 (referred to below as \"
20| JEFFREY J. ANDERSON, whose address\r\nis 1244 PENNSYLVANIA AVENUE, OAKMONT, PA 15139 and JENNIFER A. ANDERSON, whose address is 1244\r\nPENNSYLVANIA AVENUE, OAKMONT, PA 15139; husband and wife (referred to below as \"
30|TotalGroupScore

10| RODI ROADS PITTSBURGH PA 15235\r\n(herein \"
0| the 
10|TotalGroupScore

0| and in a form\r\nacceptable to 
1| this Mortgage.\r\n\r\nIf the amount of the Funds held by Lender, together with the future monthly installments of Funds payable\r\nprior to the due dates of taxes, assessments, insurance premitmts and ground rents, shall exceed the amount\r\nrequired to pay said taxes, assessments, insurance premiums and ground rents as they fall due, such excess shall\r\nbe, at 
1|TotalGroupScore

0| which bound,\r\nat the time therein fixed, or as provided by law, and from day to day and term to term thereafter, as may be ordered by such Court.\r\n\r\n2. The undersigned shall at all times indemnify and hold harmless the Surety from and against every loss, cost and expense which the Surety shall or may\r\nfor any cause at any time directly or indirectly sustain or incur by reason or in consequence of the execution or continuation of said bond and every bond\r\n
0|, the undersigned (jointly and severally, if more than one)\r\n\r\nabsolutely and unconditionally covenant, promise, undertake, agree and bind themselves, their representatives, successors, heirs and 
0|TotalGroupScore

0|\r\nC M 8n the 
10|\r\n\r\nChristine S. Mills herein called \"
10|TotalGroupScore

